ID,Correct,Missing,Spurious,Partial,Pr,Recall,F-Score
Environment,286.0,86.0,159.0,12.0,0.639,0.76,0.694
Material,150.0,96.0,181.0,2.0,0.453,0.609,0.52
Process,21.0,20.0,63.0,1.0,0.253,0.512,0.339
Quality,114.0,106.0,293.0,11.0,0.286,0.517,0.368
