ID,Correct,Missing,Spurious,Partial,Pr,Recall,F-Score
Environment,647.0,720.0,559.0,22.0,0.536,0.474,0.503
Material,1111.0,591.0,1016.0,2.0,0.522,0.653,0.58
Process,89.0,148.0,123.0,9.0,0.423,0.38,0.4
Quality,1414.0,472.0,974.0,75.0,0.589,0.74,0.656
