ID,Correct,Missing,Spurious,Partial,Pr,Recall,F-Score
Environment,131.0,499.0,263.0,3.0,0.334,0.209,0.257
Material,754.0,374.0,732.0,0.0,0.507,0.668,0.576
Process,13.0,32.0,28.0,0.0,0.317,0.289,0.302
Quality,1023.0,264.0,395.0,49.0,0.714,0.784,0.747
